Qubits,Variant,Var,CI_lo,CI_hi
5,Vanilla,4.7371718156136e-07,3.435267028325233e-07,2.553454994914729e-06
5,Q-LINK(XX),5.021308162872188e-06,5.021308162872188e-06,1.2484663332142537e-05
5,Q-LINK(YY),5.160042187140418e-06,5.160042187140418e-06,1.3432723836134368e-05
5,Q-LINK(ZZ),2.1622621868009873e-06,2.1622621868009873e-06,7.318892986743361e-06
6,Vanilla,2.971823835951522e-07,2.841871167936744e-07,1.3951413172814924e-06
6,Q-LINK(XX),1.8993612275328577e-06,1.8993612275328577e-06,5.403441078167587e-06
6,Q-LINK(YY),1.7997130348421415e-06,1.7997130348421415e-06,5.515261751467142e-06
6,Q-LINK(ZZ),1.2026987936833518e-06,1.2026987936833518e-06,4.3297814277429395e-06
7,Vanilla,1.8281401254013968e-07,1.8281401254013968e-07,9.365528998074087e-07
7,Q-LINK(XX),8.636641750650641e-07,8.636641750650641e-07,2.9675502633368827e-06
7,Q-LINK(YY),9.600813233845363e-07,9.600813233845363e-07,2.913906897361688e-06
7,Q-LINK(ZZ),7.720896656754412e-07,7.720896656754412e-07,2.603675379450187e-06
8,Vanilla,1.694637506111359e-07,1.694637506111359e-07,6.755221715932408e-07
8,Q-LINK(XX),5.047372656733309e-07,5.047372656733309e-07,1.7198935007849075e-06
8,Q-LINK(YY),5.175191342995302e-07,5.175191342995302e-07,1.7400966124246317e-06
8,Q-LINK(ZZ),7.71030830381659e-06,5.482261472334318e-06,3.2546563963051494e-05
