Qubits,Variant,Var,CI_lo,CI_hi
5,Vanilla,4.7371718156136e-07,3.435267028325233e-07,2.553454994914729e-06
5,Q-LINK(full),5.021308162872188e-06,5.021308162872188e-06,1.2484663332142537e-05
5,Q-LINK(coll-only),6.875913516139029e-06,6.875913516139028e-06,1.0455176083146989e-05
5,Q-LINK(dist-only),2.3350754655535175e-06,2.3350754655535175e-06,8.867071314864499e-06
6,Vanilla,2.971823835951522e-07,2.841871167936744e-07,1.3951413172814924e-06
6,Q-LINK(full),1.8993612275328577e-06,1.8993612275328577e-06,5.403441078167587e-06
6,Q-LINK(coll-only),1.7531380421623956e-06,1.7531380421623956e-06,3.868737772431916e-06
6,Q-LINK(dist-only),1.1704226070444125e-06,1.1704226070444125e-06,3.914082973128951e-06
7,Vanilla,1.8281401254013968e-07,1.8281401254013968e-07,9.365528998074087e-07
7,Q-LINK(full),8.636641750650641e-07,8.636641750650641e-07,2.9675502633368827e-06
7,Q-LINK(coll-only),8.471948428853574e-07,8.471948428853574e-07,2.524996910823524e-06
7,Q-LINK(dist-only),6.312690833124329e-07,6.312690833124329e-07,2.425532367029275e-06
8,Vanilla,1.694637506111359e-07,1.694637506111359e-07,6.755221715932408e-07
8,Q-LINK(full),5.047372656733309e-07,5.047372656733309e-07,1.7198935007849075e-06
8,Q-LINK(coll-only),4.629612658669983e-07,4.629612658669983e-07,1.522242358402921e-06
8,Q-LINK(dist-only),1.7382117099485653e-05,1.3854133896919573e-05,6.232955258637826e-05
