Qubits,m,Model,Var
3,1,Vanilla,5.157272895426602e-07
3,1,Q-LINK(Fixed),3.4220844871624126e-05
3,2,Vanilla,1.0702494081898705e-06
3,2,Q-LINK(Fixed),1.8566016437389025e-05
3,3,Vanilla,1.6973894814040598e-06
3,3,Q-LINK(Fixed),3.421190999031994e-05
4,1,Vanilla,4.7371718156136e-07
4,1,Q-LINK(Fixed),2.6265214704019086e-06
4,2,Vanilla,8.843907517896191e-07
4,2,Q-LINK(Fixed),2.9529956307080445e-06
4,3,Vanilla,1.2653056462028993e-06
4,3,Q-LINK(Fixed),2.557319424938002e-06
4,4,Vanilla,1.7407197422796369e-06
4,4,Q-LINK(Fixed),3.57033434803332e-06
5,1,Vanilla,2.971823835951522e-07
5,1,Q-LINK(Fixed),1.4499651111156213e-06
5,2,Vanilla,5.057892123255535e-07
5,2,Q-LINK(Fixed),1.334610391541623e-06
5,3,Vanilla,6.713501698999126e-07
5,3,Q-LINK(Fixed),1.5262593311041646e-06
5,4,Vanilla,8.832904209747152e-07
5,4,Q-LINK(Fixed),1.2333368687082087e-06
5,5,Vanilla,6.45899255175541e-06
5,5,Q-LINK(Fixed),1.7398443372883502e-06
6,1,Vanilla,1.8281401254013968e-07
6,1,Q-LINK(Fixed),5.978298052848935e-07
6,2,Vanilla,2.847533745236928e-07
6,2,Q-LINK(Fixed),5.303844547011328e-07
6,3,Vanilla,3.7099710882883923e-07
6,3,Q-LINK(Fixed),5.662257304774507e-07
6,4,Vanilla,3.777639637224324e-05
6,4,Q-LINK(Fixed),5.572543100618286e-07
6,5,Vanilla,7.072689584698748e-05
6,5,Q-LINK(Fixed),5.903832274806807e-07
7,1,Vanilla,1.694637506111359e-07
7,1,Q-LINK(Fixed),3.463997077669488e-07
7,2,Vanilla,2.394937069101249e-07
7,2,Q-LINK(Fixed),3.387249982589055e-07
7,3,Vanilla,9.473987148578306e-06
7,3,Q-LINK(Fixed),3.3978429916105306e-07
7,4,Vanilla,9.062256932854649e-05
7,4,Q-LINK(Fixed),3.4749548451892614e-07
7,5,Vanilla,5.9895367632835336e-05
7,5,Q-LINK(Fixed),3.3602092811718716e-07
